player,GP,MIN per game,AST per game,"Passes 
per game",Total AST,"FT Assists 
per game","Secondary Assists 
per game","Assist opportunities 
per game","Points created by 
assist per game","Points Created by 
AST Per 48 Min"
Brian Roberts,72,23.3,3.3,39.5,234,0.4,0.5,6.3,7.6,15.6
Brook Lopez,17,31.5,0.9,21.4,16,0.3,0.4,2.4,2.7,4.1
Byron Mullens,18,13.8,0.4,20.1,8,0.1,0.1,1.2,1.2,4.1
Byron Mullens,27,6.2,0.2,7.3,6,0,0.1,0.4,0.6,4.6
Byron Mullens,45,9.3,0.3,12.4,14,0,0.1,0.7,0.8,4.3
Carl Landry,18,13,0.3,14.1,5,0,0.2,0.8,0.6,2.3
Carlos Boozer,76,28.3,1.6,31.9,118,0.3,0.4,3,3.8,6.4
Carmelo Anthony,77,38.9,3.1,41.1,242,0.3,0.7,6.2,7.8,9.6
Caron Butler,22,27.4,1.2,19.4,26,0.1,0.5,1.9,2.9,5
Caron Butler,33,24.3,1.7,32.7,56,0.2,0.5,3.2,4.1,8
Caron Butler,55,25.5,1.5,27.4,82,0.1,0.5,2.7,3.6,6.7
Carrick Felix,7,5.5,0.6,5.3,4,0.1,0.1,0.9,1.3,11.2
Cartier Martin,6,8,0.3,3.7,2,0.2,0.3,0.3,0.8,5
Cartier Martin,53,15.5,0.6,13.8,31,0,0.3,1.3,1.4,4.4
Cartier Martin,59,14.7,0.6,12.8,33,0,0.3,1.2,1.4,4.4
Casper Ware,9,13,1.1,22.6,10,0.2,0.7,2.2,2.4,9.1
Chandler Parsons,74,37.8,4,42.1,298,0.4,0.8,7.1,9.5,12
Channing Frye,82,28.3,1.2,36.4,98,0.1,0.6,2.3,2.9,4.9
Charles Hayes,15,10.6,0.4,11.9,6,0.1,0.1,0.9,1,4.5
Charles Hayes,45,12.8,0.6,16.5,29,0.1,0.3,1.3,1.6,6.2
Charles Hayes,60,12.2,0.6,15.3,35,0.1,0.2,1.2,1.5,5.8
Charlie Villanueva,20,9,0.3,11.7,6,0,0.1,0.8,0.8,4
Chase Budinger,41,18.4,0.8,13,31,0.1,0.3,1.7,1.8,4.6
Chauncey Billups,19,16.4,2.2,24,42,0.3,0.7,4.3,5.2,15.1
Chris Andersen,72,19.5,0.3,15.1,19,0.1,0.1,0.9,0.6,1.5
Chris Babb,14,9.5,0.2,8.1,3,0.1,0.1,0.4,0.5,2.5
Chris Bosh,79,32.3,1.1,34.4,87,0.1,0.7,2.5,2.7,4
Chris Copeland,41,6.5,0.4,6.1,18,0,0.1,0.7,1.1,7.9
Chris Douglas-Roberts,48,20.9,1.1,15.4,51,0.1,0.2,2,2.5,5.8
Chris Johnson,40,19.9,0.8,15.9,31,0.1,0.3,1.6,1.9,4.5
Chris Kaman,39,19,1.5,27.6,58,0.2,0.3,3.1,3.7,9.4
Chris Paul,62,35.3,10.7,72,663,1,2.2,19.8,24.5,33.3
Chris Singleton,25,10,0.2,11.7,6,0,0.1,0.7,0.5,2.3
Chris Smith,2,1,0,1,0,0,0,0,0,0
Chris Wright,8,15.8,0.6,11,5,0,0.3,1.1,1.3,3.8
CJ McCollum,38,12.6,0.7,11.3,27,0.1,0.2,1.4,1.7,6.6
CJ Miles,51,19.3,1,15.1,52,0.1,0.1,2.2,2.4,6
CJ Watson,63,19,1.7,31.4,107,0.1,0.7,4,4,10
Cody Zeller,81,17.4,1.1,33,92,0.2,0.3,2.3,2.6,
Cole Aldrich,46,7.2,0.3,9.7,14,0,0.2,0.6,0.7,4.8
Corey Brewer,81,32.4,1.7,25.7,135,0.3,0.6,2.8,4,5.9
Cory Joseph,68,13.9,1.7,22.7,114,0.1,0.4,3.3,3.9,13.6
Courtney Lee,30,16.9,1.1,15.3,32,0.1,0.4,2.6,2.5,7.2
Courtney Lee,49,30.1,1.7,29.5,83,0.2,0.6,3.8,3.7,5.9
Courtney Lee,79,25.1,1.5,24.1,115,0.2,0.5,3.3,3.3,6.2
D.J. Augustin,9,7.7,1,12.6,9,0.3,0.2,2.2,2.7,16.6
D.J. Augustin,61,30.5,5,60.6,303,0.8,1.9,11,11.4,18
D.J. Augustin,70,27.6,4.5,54.4,312,0.7,1.7,9.9,10.3,17.9
Damian Lillard,82,36,5.6,61.3,457,0.6,1.2,10.9,13.5,18.1
Damion James,5,10.1,0.6,12.8,3,0,0.2,1.8,1.2,5.7
Daniel Orton,22,11.4,0.7,15.5,15,0,0.3,1.5,1.6,6.9
Danny Granger,12,16.3,0.7,12.6,8,0.1,0.3,1.5,1.8,5.2
Danny Granger,29,22.7,1.1,19.6,33,0.2,0.3,2.7,2.7,5.8
Danny Granger,41,20.8,1,17.6,41,0.2,0.3,2.3,2.4,5.6
Danny Green,68,24.4,1.5,28.2,104,0.1,0.6,3.1,3.4,6.7
Dante Cunningham,81,20.3,1,27.8,83,0,0.3,2,2.5,5.8
Darius Johnson-Odom,3,5.1,0.3,8.7,1,0,0.3,1.3,0.7,6.2
Darius Miller,45,16.2,1,11,43,0,0.1,1.9,2.2,6.4
Darius Morris,5,13.2,1.6,21.6,8,0,0.2,3.2,3.2,11.6
